










































































# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Mar 28 10:17:07 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
34,55,"214.46981316119232,-34.13983991187323",214.46981,-34.13984,0.00013857,1SWASP J141752.79-340823.5,214.469972,-34.139875,2453860.389896,2454688.226470,10.89033,11269,11269,1.087968e+01,9.694366e-02,1.463100e-01
35,59,"216.4788483549656,-28.64828720308305",216.47885,-28.64829,0.00011381,1SWASP J142554.89-283854.0,216.478742,-28.648353,2453860.390058,2454688.226435,10.31766,13139,13139,1.031321e+01,1.397784e-01,6.796000e-02
36,62,"212.70114728407123,-42.92824971807485",212.70115,-42.92825,0.00020959,1SWASP J141048.21-425541.4,212.700886,-42.928169,2453860.389537,2454688.226678,9.76056,17361,17361,9.765347e+00,6.334685e-02,5.330300e-02
37,63,"206.60940570703494,-43.35389145905869",206.60941,-43.35389,0.00022094,1SWASP J134626.28-432114.7,206.609542,-43.354089,2453860.388252,2454688.226296,11.23163,14344,14344,1.123715e+01,6.833260e-02,1.196800e-01
38,65,"214.55050157355882,-34.041970689634965",214.55050,-34.04197,0.00003296,1SWASP J141812.11-340231.0,214.550464,-34.041956,2453860.389896,2454688.226481,11.41751,11259,11259,1.141259e+01,9.764882e-02,1.033500e-01
39,66,"230.06767253582308,-39.614794142473784",230.06767,-39.61479,0.00012152,1SWASP J152016.21-393652.9,230.067556,-39.614706,2453862.257014,2454615.532130,11.83878,18341,18341,1.184199e+01,7.313639e-02,7.643000e-02
40,68,"214.5704203121293,-34.786880011573096",214.57042,-34.78688,0.00017364,1SWASP J141816.86-344712.3,214.570272,-34.786756,2453860.389873,2454688.226505,10.58269,11261,11261,1.057895e+01,8.209991e-02,8.529000e-02
41,71,"226.28210395980574,-38.901854239021496",226.28210,-38.90185,0.00010496,1SWASP J150507.67-385406.5,226.281969,-38.901825,2453860.389745,2454615.532072,11.87712,21701,21701,1.187946e+01,1.039805e-01,7.808000e-02
42,75,"221.57926304837176,-35.69638419120086",221.57926,-35.69638,0.00011475,1SWASP J144619.03-354146.5,221.579317,-35.696275,2453860.389884,2454615.532014,9.71064,17799,17799,9.719684e+00,2.615526e-01,3.495970e-01
43,76,"224.75415113273655,-27.860288432622497",224.75415,-27.86029,0.00010816,1SWASP J145901.02-275136.8,224.754256,-27.860236,2454148.500451,2454615.532222,10.85320,9981,9981,1.085427e+01,9.161652e-02,1.607200e-01
