# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 19 08:30:36 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
36,468,"183.23428387046795,-50.67086127645916",183.23428,-50.67086,0.00005086,1SWASP J121256.20-504015.1,183.234200,-50.670864,2453922.203137,2454662.265880,9.22299,110,110,9.220519e+00,1.114118e-01,8.483300e-02
37,479,"172.11642789917718,-44.90225623527278",172.11643,-44.90226,0.00042785,1SWASP J112828.08-445407.8,172.117022,-44.902175,2453860.212951,2454662.246354,11.74298,19230,19230,1.174230e+01,5.075573e-02,5.592000e-02
38,485,"194.18101361413963,-54.288018762291046",194.18101,-54.28802,0.00030053,1SWASP J125643.54-541716.2,194.181431,-54.287847,2453922.203877,2454662.266644,9.55559,100,100,9.552174e+00,7.143702e-02,1.147810e-01
39,493,"167.26617021981843,-46.57484412509973",167.26617,-46.57484,0.00039463,1SWASP J110904.01-463429.6,167.266736,-46.574906,2453860.212662,2454660.210787,10.45109,8467,8467,1.045391e+01,5.423098e-02,4.797000e-02
40,509,"173.90866415850712,-46.183443115986265",173.90866,-46.18344,0.00007760,1SWASP J113538.06-461100.6,173.908606,-46.183508,2453860.214375,2454662.246539,8.86330,12696,12696,8.883278e+00,7.631960e-02,6.616900e-02
41,516,"183.61917148045066,-47.61283976669427",183.61917,-47.61284,0.00012075,1SWASP J121428.64-473646.0,183.619339,-47.612800,2453922.203032,2454662.265752,9.78605,127,127,9.784800e+00,9.457452e-02,2.278920e-01
42,531,"170.52619125133006,-46.8738748663397",170.52619,-46.87387,0.00011303,1SWASP J112206.28-465226.3,170.526186,-46.873983,2453922.203009,2454660.210984,10.77542,110,110,1.076502e+01,7.173114e-02,1.501100e-01
43,537,"176.4926314689159,-45.91603256588202",176.49263,-45.91603,0.00033999,1SWASP J114558.34-455457.4,176.493106,-45.915953,2453860.214514,2454662.246667,11.18838,11363,11363,1.119233e+01,6.075551e-02,8.968000e-02
44,553,"168.6077265752584,-44.39162794920709",168.60773,-44.39163,0.00048877,1SWASP J111426.01-442329.8,168.608414,-44.391628,2453860.212778,2454662.246123,9.68616,15240,15240,9.686139e+00,5.662688e-02,2.573600e-02
45,555,"171.15047192564413,-45.44507803708365",171.15047,-45.44508,0.00013087,1SWASP J112436.10-452641.8,171.150425,-45.444953,2453862.209491,2454662.246331,9.02262,6630,6630,9.028595e+00,8.857938e-02,3.734800e-02
46,573,"189.52699824808136,-54.60891431520056",189.52700,-54.60891,0.00000209,1SWASP J123806.48-543632.0,189.527000,-54.608908,2453922.203634,2454307.262106,12.36042,106,106,1.235511e+01,5.355834e-02,1.135800e-01
47,594,"187.399048244736,-47.71364389763275",187.39905,-47.71364,0.00010307,1SWASP J122935.80-474249.0,187.399197,-47.713611,2453922.203275,2454662.265984,10.99268,127,127,1.096679e+01,7.439059e-02,2.367900e-01
48,595,"182.83494225407588,-50.23791878972183",182.83494,-50.23792,0.00037057,1SWASP J121120.51-501416.8,182.835497,-50.238022,2453922.203090,2454662.265833,11.22417,116,116,1.121954e+01,8.647066e-02,1.096300e-01
49,611,"182.74674382447293,-53.25037392386077",182.74674,-53.25037,0.00008714,1SWASP J121059.19-531501.5,182.746636,-53.250431,2453922.203206,2454662.265984,10.95807,116,116,1.095622e+01,4.528775e-02,8.912000e-02
50,615,"175.05587092874717,-46.082985671528945",175.05587,-46.08299,0.00031790,1SWASP J114013.43-460457.6,175.055989,-46.082683,2453860.213079,2454662.246597,9.86122,21170,21170,9.869296e+00,6.365638e-02,6.770900e-02
51,643,"206.2603111444768,-46.532909497601686",206.26031,-46.53291,0.00007113,1SWASP J134502.48-463158.2,206.260358,-46.532847,2453860.388090,2454688.226424,11.38906,7940,7940,1.139388e+01,2.738224e-02,3.696000e-02
52,651,"185.18401068669854,-52.25696563155036",185.18401,-52.25697,0.00011217,1SWASP J122044.20-521524.9,185.184183,-52.256933,2453922.203310,2454662.266065,10.15183,116,116,1.014851e+01,6.000945e-02,9.641000e-02
53,673,"190.74131388699442,-54.25904354702673",190.74131,-54.25904,0.00000704,1SWASP J124257.91-541532.5,190.741322,-54.259039,2453922.203681,2454662.266458,10.60527,106,106,1.060135e+01,5.452483e-02,9.730000e-02
54,707,"182.81587941385072,-53.73302287112936",182.81588,-53.73302,0.00005867,1SWASP J121115.79-534358.6,182.815831,-53.732969,2453922.203229,2454662.266007,10.21641,112,112,1.020838e+01,7.448363e-02,2.058100e-01
55,709,"202.99667126242397,-46.33199695125482",202.99667,-46.33200,0.00048305,1SWASP J133159.34-461954.2,202.997253,-46.331733,2453860.216574,2454688.226204,10.66972,14889,14889,1.068508e+01,7.303889e-02,8.003000e-02
56,740,"184.00957354578793,-49.2125220369978",184.00957,-49.21252,0.00007006,1SWASP J121602.27-491245.2,184.009478,-49.212556,2453922.203125,2454662.265845,11.28401,116,116,1.128411e+01,1.092872e-01,1.124500e-01
57,761,"169.0050860635163,-44.04506727320111",169.00509,-44.04507,0.00049712,1SWASP J111601.38-440241.7,169.005756,-44.044936,2453860.212813,2454662.246123,11.68040,19244,19244,1.168139e+01,4.346372e-02,3.973000e-02
58,769,"167.74374176422057,-45.601159644892654",167.74374,-45.60116,0.00011651,1SWASP J111058.45-453604.0,167.743578,-45.601133,2453860.224387,2454623.255428,11.58615,6754,6754,1.164743e+01,1.446057e-01,2.670500e-01
59,775,"173.43323623399291,-46.53315487402221",173.43324,-46.53315,0.00016172,1SWASP J113343.96-463158.7,173.433178,-46.532994,2453860.237569,2454662.246528,8.20481,5002,5002,8.263028e+00,9.109801e-02,6.096600e-02
60,776,"194.09222362176217,-50.370834848387645",194.09222,-50.37083,0.00007279,1SWASP J125622.10-502215.0,194.092108,-50.370844,2453922.203773,2454662.266493,10.30125,123,123,1.030262e+01,5.667549e-02,1.278700e-01
61,781,"167.51766784909555,-46.51911752454427",167.51767,-46.51912,0.00003292,1SWASP J111004.25-463108.7,167.517708,-46.519100,2453860.212674,2454660.210799,12.07454,10664,10664,1.207598e+01,5.460481e-02,5.575000e-02
62,783,"189.07662019980782,-47.028225435383774",189.07662,-47.02823,0.00023891,1SWASP J123618.47-470141.5,189.076969,-47.028208,2453922.203356,2454662.266053,10.80816,231,231,1.082936e+01,8.670268e-02,2.291700e-01
63,791,"185.91729400272953,-50.714934430931535",185.91729,-50.71493,0.00017419,1SWASP J122340.09-504253.3,185.917067,-50.714828,2453922.203299,2454662.266030,11.37892,116,116,1.137886e+01,4.404164e-02,9.926000e-02
64,799,"198.66622371605723,-46.857596690517795",198.66622,-46.85760,0.00013340,1SWASP J131439.93-465127.0,198.666375,-46.857519,2453872.262731,2454570.630289,7.97617,496,496,7.957748e+00,3.322935e-01,6.170640e-01
65,827,"168.88804008099225,-45.61590117957732",168.88804,-45.61590,0.00028561,1SWASP J111533.22-453657.5,168.888428,-45.615989,2453860.212766,2454662.246215,11.01040,19244,19244,1.101260e+01,4.932347e-02,3.681000e-02
66,841,"193.02581195175026,-47.28336690104088",193.02581,-47.28337,0.00034696,1SWASP J125206.31-471659.7,193.026297,-47.283264,2453922.203623,2454662.266319,11.26479,155,155,1.120711e+01,2.209117e-01,5.035400e-01
67,847,"193.29831519222813,-54.066683685228874",193.29832,-54.06668,0.00007129,1SWASP J125311.59-540400.3,193.298297,-54.066750,2453922.203819,2454662.266586,12.23611,100,100,1.223686e+01,2.157191e-01,1.574700e-01
68,889,"170.0740343036568,-45.33181366904304",170.07403,-45.33181,0.00032730,1SWASP J112017.87-451954.9,170.074469,-45.331919,2453860.212836,2454662.246262,11.26796,17894,17894,1.126987e+01,5.491642e-02,3.276000e-02
69,899,"175.63896499213647,-45.64370806177899",175.63896,-45.64371,0.00020141,1SWASP J114233.28-453837.0,175.638703,-45.643619,2453860.214479,2454662.246597,9.96448,19632,19632,9.980906e+00,5.113419e-02,7.027100e-02
70,907,"194.3970837669107,-51.59479097869915",194.39708,-51.59479,0.00012347,1SWASP J125735.34-513541.0,194.397261,-51.594739,2453922.203819,2454662.266563,10.06027,123,123,1.005551e+01,5.698432e-02,1.378710e-01
71,949,"205.1334201411328,-46.5205469029926",205.13342,-46.52055,0.00013701,1SWASP J134032.05-463113.6,205.133575,-46.520464,2453860.388079,2454688.226343,9.07298,8231,8231,9.077399e+00,3.504249e-02,7.047800e-02
72,960,"194.98478176103833,-50.909781078951696",194.98478,-50.90978,0.00013715,1SWASP J125956.39-505435.0,194.984989,-50.909742,2453922.203843,2454662.266574,9.33747,118,118,9.345384e+00,6.192637e-02,1.553560e-01
73,966,"167.62629489389656,-46.152382289460846",167.62629,-46.15238,0.00010058,1SWASP J111030.28-460908.2,167.626208,-46.152297,2453860.212685,2454660.210775,10.74507,19204,19204,1.074637e+01,6.163097e-02,3.008000e-02
74,970,"190.26761863140732,-50.50396219673129",190.26762,-50.50396,0.00024103,1SWASP J124104.31-503014.4,190.267992,-50.504006,2453922.203542,2454662.266273,10.50374,116,116,1.049789e+01,3.396617e-02,1.179900e-01
75,973,"190.17345670830397,-48.627504194387285",190.17346,-48.62750,0.00002363,1SWASP J124041.62-483739.0,190.173447,-48.627522,2453922.203484,2454662.266192,10.93321,116,116,1.092398e+01,6.840205e-02,1.378200e-01
