# MIST version number  = 1.1     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1519   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  202         9.0000000000000000E+000         1.4120393585926724E-001         1.4120359903064589E-001        -1.1438785530180138E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6438404960524524E+000        -2.6438595084741583E+000        -6.9871354383703093E+001         3.4889840884852212E+000        -7.7721127281455404E-001         5.1376807841703860E+000         7.1503152637160317E-001         4.2762709843165549E-004         2.7025515639361919E-001         2.4965357267738384E-003         6.1088852298742903E-003         6.7395322728165414E+000         2.3778239083360404E+000         2.8797961965570684E-001         7.1503152637056056E-001         2.7025515639361941E-001         2.4965357267738401E-003         0.0000000000000000E+000
  203         9.0000000000000000E+000         1.4128917706971264E-001         1.4128883994587363E-001        -1.1452073448788979E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6430979211493173E+000        -2.6431166362693688E+000        -6.9860887801365152E+001         3.4890436185830804E+000        -7.7695904555870565E-001         5.1374765340318396E+000         7.1503109199834713E-001         4.2806142783266419E-004         2.7025515643744513E-001         2.4965357264267523E-003         6.1088852298743033E-003         6.7397036302986830E+000         2.3773855555381305E+000         2.8773950271277127E-001         7.1503109199730353E-001         2.7025515643744535E-001         2.4965357264267541E-003         0.0000000000000000E+000
  204         9.0000000000000000E+000         1.4137431966368430E-001         1.4137398224474224E-001        -1.1465345989408795E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6423562053294858E+000        -2.6423746228790130E+000        -6.9850433324625698E+001         3.4891030799086029E+000        -7.7670711029983308E-001         5.1372725205772998E+000         7.1503065765211227E-001         4.2849573011398802E-004         2.7025515648136922E-001         2.4965357260793280E-003         6.1088852298743172E-003         6.7398747896041256E+000         2.3769477104671175E+000         2.8749966389737885E-001         7.1503065765106788E-001         2.7025515648136944E-001         2.4965357260793293E-003         0.0000000000000000E+000
  205         9.0000000000000000E+000         1.6457310028554201E-001         1.6457268702905170E-001        -1.5149120768748877E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4964576779010437E+000        -2.4964156110053040E+000        -6.7889338883939388E+001         3.4991910266405908E+000        -7.2393374004959021E-001         5.0985187624826338E+000         7.1494406178598513E-001         5.1504342871765607E-004         2.7025520460721708E-001         2.4965352369578902E-003         6.1088852298834921E-003         6.7726732525945668E+000         2.2885655025850458E+000         2.4695716700353232E-001         7.1494406178471137E-001         2.7025520460721780E-001         2.4965352369578885E-003         0.0000000000000000E+000
  206         9.0000000000000000E+000         1.6495506633485724E-001         1.6495465188649966E-001        -1.5210442931797392E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4946030012213614E+000        -2.4945605837659826E+000        -6.7865702311066258E+001         3.4992975308377394E+000        -7.2321941010404522E-001         5.0980445491133715E+000         7.1494297770182624E-001         5.1612620402050622E-004         2.7025520591501023E-001         2.4965352245317077E-003         6.1088852298836994E-003         6.7730783687057574E+000         2.2874113216465348E+000         2.4653133757468410E-001         7.1494297770054915E-001         2.7025520591501095E-001         2.4965352245317064E-003         0.0000000000000000E+000
  207         9.0000000000000000E+000         1.6533672421777734E-001         1.6533630857747506E-001        -1.5271715803244533E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4927498195481101E+000        -2.4927070493057739E+000        -6.7842084879160282E+001         3.4994039487683732E+000        -7.2250565512868881E-001         5.0975707156457446E+000         7.1494189270240827E-001         5.1720988677894436E-004         2.7025520723060525E-001         2.4965352120826434E-003         6.1088852298839076E-003         6.7734831571116061E+000         2.2862580677722275E+000         2.4610585185158063E-001         7.1494189270112740E-001         2.7025520723060603E-001         2.4965352120826416E-003         0.0000000000000000E+000
  208         9.0000000000000000E+000         2.0681658876641890E-001         2.0681603844265903E-001        -2.2080659883515128E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2990716956022297E+000        -2.2989675472530005E+000        -6.5397961950556379E+001         3.5107256539122504E+000        -6.4831000344350087E-001         5.0490069757130858E+000         7.1481612979936049E-001         6.4274292120213375E-004         2.7025543691613552E-001         2.4965330607126367E-003         6.1088852299192378E-003         6.8154444946029002E+000         2.1671357018224291E+000         2.0307377065960280E-001         7.1481612979767606E-001         2.7025543691613846E-001         2.4965330607126207E-003         0.0000000000000000E+000
  209         9.0000000000000000E+000         2.0695052595538582E-001         2.0694997519530217E-001        -2.2105096479562225E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2985732680338513E+000        -2.2984687868250990E+000        -6.5392082221495855E+001         3.5107582333167362E+000        -6.4812594846828375E-001         5.0488984626396505E+000         7.1481574434826223E-001         6.4312655623791721E-004         2.7025543873063890E-001         2.4965330422979095E-003         6.1088852299195475E-003         6.8155466370117885E+000         2.1668533294718944E+000         2.0298753389243085E-001         7.1481574434657624E-001         2.7025543873064184E-001         2.4965330422978935E-003         0.0000000000000000E+000
  210         9.0000000000000000E+000         2.0708427656691744E-001         2.0708372537091044E-001        -2.2129499211443879E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2980755322636246E+000        -2.2979707164638015E+000        -6.5386210754784628E+001         3.5107907674250209E+000        -6.4794214879974099E-001         5.0487900985554948E+000         7.1481535933366691E-001         6.4350975080629963E-004         2.7025544054910500E-001         2.4965330238627789E-003         6.1088852299198571E-003         6.8156486361171567E+000         2.1665713474039805E+000         2.0290141729435193E-001         7.1481535933197926E-001         2.7025544054910794E-001         2.4965330238627629E-003         0.0000000000000000E+000
  211         9.0000000000000000E+000         2.1126355752771225E-001         2.1126299238263802E-001        -2.2892920224895468E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2825108318332377E+000        -2.2823843552451102E+000        -6.5203172085086308E+001         3.5118076255649080E+000        -6.4219351486432119E-001         5.0453931094347784E+000         7.1480537414422829E-001         6.5340439189912828E-004         2.7025553102816202E-001         2.4965322057025393E-003         6.1088852299333932E-003         6.8188296239887078E+000         2.1577448119611118E+000         2.0021091167665461E-001         7.1480537414249501E-001         2.7025553102816613E-001         2.4965322057025198E-003         0.0000000000000000E+000
  212         9.0000000000000000E+000         2.2584946707938572E-001         2.2584885257952103E-001        -2.5555253135562938E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2282147096115894E+000        -2.2280402616269148E+000        -6.4563273294778654E+001         3.5153562258324849E+000        -6.2214265428865045E-001         5.0335617771518786E+000         7.1476065617378226E-001         6.9788036575140736E-004         2.7025577283249630E-001         2.4965299353402973E-003         6.1088852299711893E-003         6.8299473423231074E+000         2.1269739654032769E+000         1.9081967224905161E-001         7.1476065617188533E-001         2.7025577283250324E-001         2.4965299353402635E-003         0.0000000000000000E+000
  213         9.0000000000000000E+000         2.2598143194808340E-001         2.2598081698725120E-001        -2.5579372641088239E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2277230846254450E+000        -2.2275480860490786E+000        -6.4557496022957380E+001         3.5153883392119520E+000        -6.2196106855451294E-001         5.0334543798279938E+000         7.1476026985121255E-001         6.9826317253237832E-004         2.7025577634611819E-001         2.4965299097589547E-003         6.1088852299716109E-003         6.8300477558362314E+000         2.1266950450012665E+000         1.9073470663003683E-001         7.1476026984931407E-001         2.7025577634612524E-001         2.4965299097589209E-003         0.0000000000000000E+000
  214         9.0000000000000000E+000         2.4112700992053621E-001         2.4112634030382352E-001        -2.8351465995760212E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1712554258202421E+000        -2.1710017077539066E+000        -6.3895887324230529E+001         3.5190749070430618E+000        -6.0110037481413103E-001         5.0210881364460924E+000         7.1471868694020768E-001         7.3930769500596709E-004         2.7025631443040987E-001         2.4965263171345250E-003         6.1088852300308126E-003         6.8415514199905871E+000         2.0946230283857270E+000         1.8098368518620586E-001         7.1471868693814411E-001         2.7025631443042242E-001         2.4965263171344777E-003         0.0000000000000000E+000
  215         9.0000000000000000E+000         2.4460396647411478E-001         2.4460328408127219E-001        -2.8986990505363128E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1583009428373270E+000        -2.1580332353895013E+000        -6.3743636809986548E+001         3.5199211649566600E+000        -5.9631564914986945E-001         5.0182577164147242E+000         7.1470626537508142E-001         7.5163213802447468E-004         2.7025641149623886E-001         2.4965256527973703E-003         6.1088852300417076E-003         6.8441976613764544E+000         2.0872730697466397E+000         1.7874487875627573E-001         7.1470626537297899E-001         2.7025641149625235E-001         2.4965256527973191E-003         0.0000000000000000E+000
