# MIST version number  = 1.1     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   694   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  323         7.2999999999999998E+000         6.1324545599295961E+000         6.1318539806916394E+000        -3.4723901263415311E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.1045433997976746E+000         3.1048925056364434E+000        -3.1775924811311942E+001         4.2734347299304964E+000         5.2807939221995936E-001         4.1693602891199326E+000         7.1553046817520483E-001         6.7020897864594040E-005         2.7012127722777030E-001         2.4933112032410124E-003         6.1064923075133783E-003         7.4681798466814246E+000         1.2196552377964207E+000         2.2961860860801118E-002         6.0629438828425986E-001         3.7965699356602101E-001         3.8656912597124711E-005         0.0000000000000000E+000
  324         7.2999999999999998E+000         6.2120768387704386E+000         6.2114494191213208E+000        -3.6403315196020556E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.1276252731071801E+000         3.1279817344387770E+000        -3.1686677049146208E+001         4.2766425521404274E+000         5.3320468445484881E-001         4.1649172632944556E+000         7.1552789466960398E-001         6.7027788710981583E-005         2.7012372345548563E-001         2.4928184255743227E-003         6.1064347254547258E-003         7.4697940721115819E+000         1.2120934821100944E+000         2.2788275304846655E-002         6.0223707181952069E-001         3.8372151414290467E-001         3.9106394490960319E-005         0.0000000000000000E+000
  325         7.2999999999999998E+000         6.2821961583253421E+000         6.2815440820288337E+000        -3.8095443420659821E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.1466412906342160E+000         3.1469963475226930E+000        -3.1600137460558063E+001         4.2787440933714986E+000         5.3850961075622439E-001         4.1591403102967721E+000         7.1552553370381944E-001         6.7041073348064111E-005         2.7012594524512618E-001         2.4922632797043189E-003         6.1063811081853853E-003         7.4712112794287311E+000         1.2061418376519921E+000         2.2683086595055361E-002         5.9638271490413430E-001         3.8958607586304417E-001         3.9632621328748586E-005         0.0000000000000000E+000
  326         7.2999999999999998E+000         6.3511710422035126E+000         6.3504936585588370E+000        -3.9814550825132008E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.1654210673774568E+000         3.1657751920222403E+000        -3.1512835210726767E+001         4.2808013556329669E+000         5.4378497460490804E-001         4.1533435714726963E+000         7.1552308446645718E-001         6.7047756079119489E-005         2.7012824738062857E-001         2.4916286212805479E-003         6.1063247734478698E-003         7.4726379190688492E+000         1.2003636957833006E+000         2.2581441500261163E-002         5.9048692923059287E-001         3.9549102550406445E-001         4.0128939124349866E-005         0.0000000000000000E+000
  327         7.2999999999999998E+000         6.4292071358245835E+000         6.4285008115004931E+000        -4.1864309321587560E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.1860674116103804E+000         3.1864236588732124E+000        -3.1419092803244283E+001         4.2831899940292661E+000         5.4933086992877100E-001         4.1474842551561899E+000         7.1552022526425751E-001         6.7050295521318385E-005         2.7013093275617184E-001         2.4907590875756064E-003         6.1062250779637811E-003         7.4741971033659196E+000         1.1940162011801101E+000         2.2463700542942208E-002         5.8478412044419481E-001         4.0120155063093743E-001         4.0599781958876477E-005         0.0000000000000000E+000
  328         7.2999999999999998E+000         6.5308958360630323E+000         6.5301521522364565E+000        -4.4707664865333551E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.2116042740644692E+000         3.2119552334776680E+000        -3.1310908388992516E+001         4.2864512669681325E+000         5.5557675527808348E-001         4.1414927703483819E+000         7.1551590131294118E-001         6.7051795126083823E-005         2.7013501912411225E-001         2.4893126672509095E-003         6.1059638323393856E-003         7.4760614758931947E+000         1.1860326694688679E+000         2.2301673060925363E-002         5.7961118523638300E-001         4.0638030318748403E-001         4.1056081021308303E-005         0.0000000000000000E+000
  329         7.2999999999999998E+000         6.6288841690758398E+000         6.6281024992309243E+000        -4.7548291158372900E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.2363493175033859E+000         3.2367074703203427E+000        -3.1204313542306394E+001         4.2895752545428847E+000         5.6170130184803546E-001         4.1355073474925490E+000         7.1551080040832871E-001         6.7043005359787675E-005         2.7013986021603309E-001         2.4875967987007717E-003         6.1056197251025852E-003         7.4778885264821904E+000         1.1783740922979558E+000         2.2147518772978401E-002         5.7439827788159903E-001         4.1159856731945749E-001         4.1494369497877891E-005         0.0000000000000000E+000
  330         7.2999999999999998E+000         6.7233029467344565E+000         6.7224827136602325E+000        -5.0386882009772651E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.2603274863154099E+000         3.2606845080862525E+000        -3.1099345891053613E+001         4.2925669037715011E+000         5.6770708779681534E-001         4.1295311961409684E+000         7.1550482044477848E-001         6.7023272712897619E-005         2.7014555761193060E-001         2.4855927306387708E-003         6.1051797005546703E-003         7.4796780731864771E+000         1.1710252090398150E+000         2.2001011004099222E-002         5.6914729710607137E-001         4.1685447471238907E-001         4.1915563241519391E-005         0.0000000000000000E+000
  331         7.2999999999999998E+000         6.8144278626136927E+000         6.8135684726772734E+000        -5.3227246743809880E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.2836051119603216E+000         3.2839654182189597E+000        -3.0995721881707791E+001         4.2954319679334807E+000         5.7361577229531169E-001         4.1235386246775967E+000         7.1549783872971096E-001         6.6992015475222542E-005         2.7015223294279078E-001         2.4832803481207527E-003         6.1046299634200437E-003         7.4814351018117851E+000         1.1639744009592339E+000         2.1861892833498917E-002         5.6384687226818109E-001         4.2215943700070624E-001         4.2321533422358534E-005         0.0000000000000000E+000
  332         7.2999999999999998E+000         6.9024488173652143E+000         6.9015496831973424E+000        -5.6074544309713720E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.3062171403932150E+000         3.3065765579211384E+000        -3.0893491393635298E+001         4.2981791979798274E+000         5.7942732641906469E-001         4.1175418331802263E+000         7.1548973348822464E-001         6.6948730996334004E-005         2.7016000730422396E-001         2.4806423961697445E-003         6.1039567289235454E-003         7.4831602516724312E+000         1.1571947292082603E+000         2.1729512943700239E-002         5.5851268766260598E-001         4.2749778432317248E-001         4.2712218130667521E-005         0.0000000000000000E+000
  333         7.2999999999999998E+000         6.9874803369609282E+000         6.9865409073556304E+000        -5.8928912972793974E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.3281886521357396E+000         3.3285440044271404E+000        -3.0792539609478414E+001         4.3008115118402221E+000         5.8514845456953846E-001         4.1115347368967363E+000         7.1548039096338223E-001         6.6893070094853395E-005         2.7016899434366365E-001         2.4776662287423349E-003         6.1031471987367377E-003         7.4848552953366276E+000         1.1506810844034749E+000         2.1603857900734755E-002         5.5313537556279735E-001         4.3287891757588504E-001         4.3089354743993438E-005         0.0000000000000000E+000
  334         7.2999999999999998E+000         7.0696300049576788E+000         7.0686497673549988E+000        -6.1792537195324185E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.3495397546584083E+000         3.3499001818378353E+000        -3.0692888801701347E+001         4.3033333788664727E+000         5.9078027177837245E-001         4.1055219858841392E+000         7.1546970406562671E-001         6.6824849372253882E-005         2.7017930114856664E-001         2.4743430519621541E-003         6.1021898478621078E-003         7.4865210014693178E+000         1.1444244627562759E+000         2.1484588323801037E-002         5.4772980182707054E-001         4.3828798871580432E-001         4.3452895089812569E-005         0.0000000000000000E+000
  335         7.2999999999999998E+000         7.1490530778295414E+000         7.1480315301340251E+000        -6.4666516813154615E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.3703059602210965E+000         3.3706664204356294E+000        -3.0594440561936423E+001         4.3057486830201235E+000         5.9633276625241372E-001         4.0994935308898972E+000         7.1545757741087734E-001         6.6743930081598443E-005         2.7019102347803575E-001         2.4706646138540358E-003         6.1010733085840154E-003         7.4881590549101436E+000         1.1384139746096977E+000         2.1371600941489849E-002         5.4228620374812830E-001         4.4373479011621320E-001         4.3804322584550044E-005         0.0000000000000000E+000
  336         7.2999999999999998E+000         7.3248357869752496E+000         7.3237277462026462E+000        -7.2112821255846799E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.4105101209829760E+000         3.4108678056372894E+000        -3.0400580742510382E+001         4.3103063976893727E+000         6.0731941729485361E-001         4.0874951570942679E+000         7.1542693211510267E-001         6.6537227312451241E-005         2.7022081479399707E-001         2.4618140711916330E-003         6.0979736111106539E-003         7.4913516091339023E+000         1.1270428076258063E+000         2.1181135113105650E-002         5.3145405204492513E-001         4.5457241669778320E-001         4.4477256740710873E-005         0.0000000000000000E+000
  337         7.2999999999999998E+000         7.4258102692122749E+000         7.4246510741480014E+000        -7.7076683345852471E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.4323596965644549E+000         3.4327137684766660E+000        -3.0293233901268415E+001         4.3127216821952024E+000         6.1341363607393506E-001         4.0807409965811603E+000         7.1540384006775037E-001         6.6384029174050674E-005         2.7024338633151651E-001         2.4557808377250021E-003         6.0955618113526658E-003         7.4931067194343992E+000         1.1210038782580807E+000         2.1087221238447727E-002         5.2534020885479060E-001         4.6068889401133151E-001         4.4840375052790498E-005         0.0000000000000000E+000
  338         7.2999999999999998E+000         7.5167338279639857E+000         7.5155266755098591E+000        -8.2071298015415952E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.4521510143427689E+000         3.4525175412758222E+000        -3.0194518068918757E+001         4.3148671370577354E+000         6.1901838523802799E-001         4.0744247646496099E+000         7.1538070843361279E-001         6.6234961849436419E-005         2.7026601178946463E-001         2.4498573051495521E-003         6.0931430920335081E-003         7.4947166502129923E+000         1.1156050570092819E+000         2.1005649240125698E-002         5.1961539868359230E-001         4.6641593628534750E-001         4.5167768855773301E-005         0.0000000000000000E+000
  339         7.2999999999999998E+000         7.6882432761343544E+000         7.6869387120324744E+000        -9.3017802789750667E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.4898282312171371E+000         3.4901918662049050E+000        -3.0002797763456403E+001         4.3188332489236592E+000         6.2992476994336555E-001         4.0618419227898643E+000         7.1532760263918260E-001         6.5904092670293569E-005         2.7031805075001292E-001         2.4369366647153980E-003         6.0875902806400099E-003         7.4978316091108894E+000         1.1055502393284700E+000         2.0859702987795724E-002         5.0821289617798759E-001         4.7782227393984411E-001         4.5787753955263660E-005         0.0000000000000000E+000
  340         7.2999999999999998E+000         7.7696555007727506E+000         7.7683010027018016E+000        -9.9000657056919415E-011         0.0000000000000000E+000         0.0000000000000000E+000         3.5078759027577018E+000         3.5082339371858096E+000        -2.9909036675791754E+001         4.3206747721748204E+000         6.3526555921132455E-001         4.0555414721434406E+000         7.1529750482726273E-001         6.5722547311952194E-005         2.7034758757821947E-001         2.4299357230451028E-003         6.0844472716838080E-003         7.4993495036424109E+000         1.1008423961558598E+000         2.0794523549872809E-002         5.0249717813192951E-001         4.8353964603235955E-001         4.6084103880519991E-005         0.0000000000000000E+000
  341         7.2999999999999998E+000         7.9232231020163120E+000         7.9217666652406162E+000        -1.1193362159918720E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.5422232717519537E+000         3.5425875549347330E+000        -2.9727141516836113E+001         4.3240674233642489E+000         6.4565394132959264E-001         4.0430285126772763E+000         7.1523097846442651E-001         6.5333582840172493E-005         2.7041295363770790E-001         2.4150652812627172E-003         6.0775145685185161E-003         7.5022865649608033E+000         1.0920742085400623E+000         2.0678939278496809E-002         4.9118005064311476E-001         4.9485960270931117E-001         4.6646349639251552E-005         0.0000000000000000E+000
  342         7.2999999999999998E+000         7.9961565842789613E+000         7.9946476709545360E+000        -1.1893248939498831E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.5586864697857212E+000         3.5590533772318165E+000        -2.9638268099605199E+001         4.3256390676762626E+000         6.5074225172244693E-001         4.0367764394425940E+000         7.1519396605604513E-001         6.5126419342286833E-005         2.7044934297391593E-001         2.4071952852161523E-003         6.0737321802781345E-003         7.5037177991243311E+000         1.0879728849616894E+000         2.0628011118947749E-002         4.8553607620532319E-001         5.0050479361272004E-001         4.6916100012105649E-005         0.0000000000000000E+000
  343         7.2999999999999998E+000         8.1337008145913803E+000         8.1320845111664681E+000        -1.3391326463144345E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.5900136486416554E+000         3.5903817057927445E+000        -2.9466038193314628E+001         4.3285196127893695E+000         6.6064475092420172E-001         4.0243723509838460E+000         7.1511570934536772E-001         6.4693424865624628E-005         2.7052637783938688E-001         2.3908199866299767E-003         6.0656188734297765E-003         7.5064856697224318E+000         1.0803566647281624E+000         2.0539579690326094E-002         4.7439462562639878E-001         5.1164832287844197E-001         4.7430037183465045E-005         0.0000000000000000E+000
  344         7.2999999999999998E+000         8.2616408474534815E+000         8.2599129974842054E+000        -1.5029597156822655E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.6195025006252948E+000         3.6198789146188721E+000        -2.9299851703274243E+001         4.3310909267276489E+000         6.7024654903946268E-001         4.0120524117082859E+000         7.1503078957438881E-001         6.4237819174470161E-005         2.7061005244412567E-001         2.3736724921812865E-003         6.0568403611602805E-003         7.5091496539853644E+000         1.0734313353249383E+000         2.0467558515238113E-002         4.6338856997458550E-001         5.2265607274710113E-001         4.7916622959219928E-005         0.0000000000000000E+000
  345         7.2999999999999998E+000         8.3808460986206406E+000         8.3790021127004337E+000        -1.6816083283972546E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.6473076498781318E+000         3.6476810894166292E+000        -2.9139414559786402E+001         4.3333795203138221E+000         6.7957193649353287E-001         3.9998148246195084E+000         7.1494005730355814E-001         6.3764314894985014E-005         2.7069952338053072E-001         2.3559166911102498E-003         6.0474964991440970E-003         7.5117163032068017E+000         1.0671371797497389E+000         2.0410643827244956E-002         4.5253145226633140E-001         5.3351457359892351E-001         4.8379042776992037E-005         0.0000000000000000E+000
  346         7.2999999999999998E+000         8.4919292088442457E+000         8.4899642408743290E+000        -1.8754062389477462E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.6735295250476860E+000         3.6739198062584464E+000        -2.8984504096650422E+001         4.3354055048978637E+000         6.8863090491022794E-001         3.9876725742795496E+000         7.1484452253132447E-001         6.3277677756245817E-005         2.7079379067440756E-001         2.3377275007683295E-003         6.0376959976969112E-003         7.5141908274606646E+000         1.0614355722328379E+000         2.0367674118817545E-002         4.4184936370730726E-001         5.4419779286020920E-001         4.8819763520227919E-005         0.0000000000000000E+000
  347         7.2999999999999998E+000         8.6341556383324409E+000         8.6320097344268287E+000        -2.1831116368188450E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.7075841891896832E+000         3.7079744594219606E+000        -2.8778013785961448E+001         4.3378271311311432E+000         7.0081498451467028E-001         3.9709543832813070E+000         7.1470195085841737E-001         6.2569788203619388E-005         2.7093460397841251E-001         2.3116241259510209E-003         6.0231469807840660E-003         7.5174853897009033E+000         1.0543952560802969E+000         2.0327464809989947E-002         4.2730543556200934E-001         5.5874295460969425E-001         4.9401084736631378E-005         0.0000000000000000E+000
  348         7.2999999999999998E+000         8.7308857865283773E+000         8.7286034231452110E+000        -2.4194663953764342E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.7310620231715350E+000         3.7314581090536798E+000        -2.8631715717439523E+001         4.3393439857905758E+000         7.0952019218672813E-001         3.9587462039921362E+000         7.1459693036263328E-001         6.2058801683258170E-005         2.7103834010955541E-001         2.2925775372947769E-003         6.0124630378024565E-003         7.5198178557805404E+000         1.0497946632169741E+000         2.0313423798922599E-002         4.1681433438436721E-001         5.6923478627608837E-001         4.9808934075120814E-005         0.0000000000000000E+000
  349         7.2999999999999998E+000         8.8602976587164086E+000         8.8578043813628931E+000        -2.7999928200843197E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.7629325441588173E+000         3.7633463784783405E+000        -2.8427547751668513E+001         4.3411821530115935E+000         7.2177911823833552E-001         3.9411870294633302E+000         7.1443957745020104E-001         6.1307124913756829E-005         2.7119385427405168E-001         2.2647527212325113E-003         5.9965270792543069E-003         7.5230723424748875E+000         1.0439353309362145E+000         2.0312148287925085E-002         4.0192129230498091E-001         5.8412866630613469E-001         5.0375552333832078E-005         0.0000000000000000E+000
  350         7.2999999999999998E+000         8.9455602736543440E+000         8.9429124445965567E+000        -3.0844341449814578E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.7842133981528212E+000         3.7846414369970645E+000        -2.8287396308662920E+001         4.3422586169453643E+000         7.3026661736779530E-001         3.9287960247073062E+000         7.1432865537682277E-001         6.0784720322724014E-005         2.7130348896212003E-001         2.2452875630283825E-003         5.9853267694357590E-003         7.5253060331180786E+000         1.0402806028937372E+000         2.0325408172506807E-002         3.9154497642778985E-001         5.9450546514563618E-001         5.0762253734452516E-005         0.0000000000000000E+000
  351         7.2999999999999998E+000         9.0651581421434422E+000         9.0562319328849465E+000        -9.4807001674184879E-010         0.0000000000000000E+000         0.0000000000000000E+000         3.8106010590734765E+000         3.8110551001758037E+000        -2.8101257511818876E+001         4.3432743902429669E+000         7.4142890123291860E-001         3.9121105127919247E+000         7.1424996322344669E-001         6.0138344806289653E-005         2.7137995759081429E-001         2.2214033058879949E-003         5.9769138400185377E-003         7.5282414962407191E+000         1.0365037952784795E+000         2.0388369422066163E-002         3.7699396027629872E-001         6.0905703476698103E-001         5.1276079591101635E-005         0.0000000000000000E+000
  352         7.2999999999999998E+000         9.1820572284049256E+000         9.1612969095367731E+000        -2.1153871850528046E-009         0.0000000000000000E+000         0.0000000000000000E+000         3.8334617915165081E+000         3.8339503149921970E+000        -2.7927217633659680E+001         4.3438215173702339E+000         7.5176501319989797E-001         3.8962714968057854E+000         7.1425670387832374E-001         5.9599000904673841E-005         2.7137056127107356E-001         2.2015733535916044E-003         5.9765795565931033E-003         7.5309615357955977E+000         1.0340275328485999E+000         2.0493144062229771E-002         3.6271455501345617E-001         6.2333686816465450E-001         5.1756130221843647E-005         0.0000000000000000E+000
  353         7.2999999999999998E+000         9.2941504831705100E+000         9.2610103223806259E+000        -3.3115614054264311E-009         0.0000000000000000E+000         0.0000000000000000E+000         3.8555090851751270E+000         3.8560164478721917E+000        -2.7753910971359797E+001         4.3441748024769300E+000         7.6208208981581738E-001         3.8802266885635435E+000         7.1427890023750307E-001         5.9062249366965138E-005         2.7134556550977040E-001         2.1819770774320593E-003         5.9776614808008536E-003         7.5336770137544598E+000         1.0320280762938292E+000         2.0616258535913132E-002         3.4838935228022905E-001         6.3766241393743917E-001         5.2234606926485877E-005         0.0000000000000000E+000
  354         7.2999999999999998E+000         9.3306143445204519E+000         9.2932241807764697E+000        -3.7174119289566597E-009         0.0000000000000000E+000         0.0000000000000000E+000         3.8627136256330949E+000         3.8632268186477581E+000        -2.7695945793747008E+001         4.3442570743958262E+000         7.6551981620700915E-001         3.8748343922023243E+000         7.1428948460946418E-001         5.8883789385459239E-005         2.7133401770465276E-001         2.1754881911184294E-003         5.9783135775433299E-003         7.5345867722260813E+000         1.0314713690759638E+000         2.0661927685762922E-002         3.4357703244389431E-001         6.4247483344455447E-001         5.2395298155823804E-005         0.0000000000000000E+000
  355         7.2999999999999998E+000         9.3667443902741052E+000         9.3250261480820242E+000        -4.1283745716748048E-009         0.0000000000000000E+000         0.0000000000000000E+000         3.8698675910590525E+000         3.8703751073930062E+000        -2.7637831004738768E+001         4.3443150416139469E+000         7.6898086448374625E-001         3.8693767532151750E+000         7.1430175247954031E-001         5.8705157932247441E-005         2.7132076853773002E-001         2.1690085357348433E-003         5.9791191861244394E-003         7.5354999783699643E+000         1.0309595745641633E+000         2.0709759087260780E-002         3.3874618010069008E-001         6.4730577962811575E-001         5.2555992870177175E-005         0.0000000000000000E+000
